dens densp densn dense densm mup mun mue xm vsigma vomega vrho E Eh El P Ph Pl
0.00454719 3.55975e-06 0.00454371 3.48301e-06 0 932.667 941.935 9.26768 925.077 0.0148275 0.0100596 -0.00405262 4.27886 4.27884 2.42461e-05 0.00436655 0.00435852 8.03335e-06
0.00459715 3.6504e-06 0.00459357 3.57638e-06 0 932.6 941.949 9.34951 924.926 0.0149883 0.0101701 -0.00409695 4.32592 4.32589 2.51152e-05 0.00443304 0.00442471 8.32219e-06
0.00464711 3.74261e-06 0.00464344 3.67123e-06 0 932.533 941.964 9.4312 924.775 0.0151491 0.0102805 -0.00414126 4.37298 4.37295 2.60059e-05 0.00449979 0.00449117 8.61819e-06
0.00469707 3.83637e-06 0.0046933 3.76756e-06 0 932.465 941.978 9.51274 924.624 0.0153098 0.010391 -0.00418557 4.42004 4.42001 2.69183e-05 0.00456681 0.00455789 8.92146e-06
0.00474703 3.93171e-06 0.00474317 3.86538e-06 0 932.398 941.992 9.59413 924.473 0.0154705 0.0105015 -0.00422988 4.4671 4.46707 2.78529e-05 0.00463409 0.00462486 9.2321e-06
0.00479699 4.02862e-06 0.00479303 3.96471e-06 0 932.331 942.007 9.67539 924.322 0.0156312 0.0106119 -0.00427417 4.51416 4.51413 2.88099e-05 0.00470164 0.00469209 9.5502e-06
0.00484695 4.12712e-06 0.00484289 4.06555e-06 0 932.264 942.021 9.7565 924.171 0.0157918 0.0107224 -0.00431847 4.56122 4.56119 2.97897e-05 0.00476945 0.00475957 9.87588e-06
0.00489691 4.2272e-06 0.00489274 4.1679e-06 0 932.197 942.035 9.83748 924.021 0.0159524 0.0108329 -0.00436275 4.60828 4.60825 3.07924e-05 0.00483752 0.00482732 1.02092e-05
0.00494687 4.32887e-06 0.0049426 4.27178e-06 0 932.13 942.049 9.91832 923.87 0.0161129 0.0109433 -0.00440703 4.65534 4.65531 3.18185e-05 0.00490586 0.00489531 1.05503e-05
0.00499683 4.43215e-06 0.00499246 4.37719e-06 0 932.063 942.062 9.99903 923.719 0.0162734 0.0110538 -0.0044513 4.70241 4.70237 3.28683e-05 0.00497446 0.00496356 1.08993e-05
0.00504679 4.53704e-06 0.00504231 4.48414e-06 0 931.996 942.076 10.0796 923.569 0.0164339 0.0111643 -0.00449557 4.74947 4.74944 3.3942e-05 0.00504332 0.00503206 1.12563e-05
0.00509675 4.64353e-06 0.00509216 4.59264e-06 0 931.93 942.09 10.16 923.418 0.0165943 0.0112747 -0.00453983 4.79653 4.7965 3.504e-05 0.00511244 0.00510081 1.16214e-05
0.00514671 4.75165e-06 0.00514201 4.70269e-06 0 931.863 942.103 10.2404 923.267 0.0167546 0.0113852 -0.00458408 4.8436 4.84356 3.61626e-05 0.00518181 0.00516982 1.19946e-05
0.00519667 4.86139e-06 0.00519186 4.81431e-06 0 931.796 942.117 10.3205 923.117 0.0169149 0.0114956 -0.00462833 4.89067 4.89063 3.73101e-05 0.00525145 0.00523907 1.23762e-05
0.00524664 4.97276e-06 0.00524171 4.92749e-06 0 931.73 942.13 10.4006 922.966 0.0170752 0.0116061 -0.00467257 4.93773 4.9377 3.84827e-05 0.00532135 0.00530858 1.27661e-05
0.0052966 5.08577e-06 0.00529155 5.04226e-06 0 931.663 942.143 10.4805 922.816 0.0172355 0.0117165 -0.0047168 4.9848 4.98476 3.96809e-05 0.0053915 0.00537833 1.31646e-05
0.00534656 5.20043e-06 0.0053414 5.1586e-06 0 931.596 942.157 10.5603 922.665 0.0173957 0.011827 -0.00476102 5.03187 5.03183 4.0905e-05 0.00546191 0.00544834 1.35716e-05
0.00539652 5.31673e-06 0.00539124 5.27654e-06 0 931.53 942.17 10.64 922.515 0.0175558 0.0119374 -0.00480524 5.07894 5.0789 4.21552e-05 0.00553258 0.00551859 1.39874e-05
0.00544648 5.43469e-06 0.00544108 5.39608e-06 0 931.463 942.183 10.7196 922.365 0.0177159 0.0120478 -0.00484946 5.12601 5.12597 4.34318e-05 0.0056035 0.00558909 1.4412e-05
0.00549644 5.55431e-06 0.00549092 5.51723e-06 0 931.397 942.196 10.799 922.214 0.017876 0.0121583 -0.00489366 5.17308 5.17304 4.47353e-05 0.00567469 0.00565984 1.48455e-05
0.0055464 5.67559e-06 0.00554076 5.63999e-06 0 931.33 942.209 10.8784 922.064 0.018036 0.0122687 -0.00493786 5.22015 5.22011 4.60659e-05 0.00574612 0.00573084 1.5288e-05
0.00559636 5.79855e-06 0.00559059 5.76437e-06 0 931.264 942.222 10.9576 921.914 0.018196 0.0123792 -0.00498205 5.26722 5.26718 4.74239e-05 0.00581782 0.00580208 1.57397e-05
